select lokace_key, ",", KNODDEL_cisloknih, ",", knoddel_nazev, ",", LOKACE_SHORT, ",", count(kj_key), ",", "30.09.2025" from lokace left join kj on kj_ptr_owner = lokace_key left join knoddel on knoddel_key = lokace_ptr_knoddel group by lokace_key, lokace_short, knoddel_cisloknih, knoddel_nazev order by knoddel_cisloknih
 LOKACE_KEY CONSTANT KNODDEL_CISLOKNIH CONSTANT             KNODDEL_NAZEV CONSTANT LOKACE_SHORT CONSTANT       COUNT CONSTANT   CONSTANT
=========== ======== ================= ======== ========================= ======== ============ ======== =========== ======== ==========
        980 ,                        1 ,        Ústøední knihovna         ,        zvuk         ,               3482 ,        30.09.2025
        983 ,                        1 ,        Ústøední knihovna         ,        NAUCMAP      ,                571 ,        30.09.2025
       1000 ,                        1 ,        Ústøední knihovna         ,        DILNA-VOL    ,                309 ,        30.09.2025
       1001 ,                        1 ,        Ústøední knihovna         ,        DILNA-PULT   ,                  0 ,        30.09.2025
       1022 ,                        1 ,        Ústøední knihovna         ,        jakurzy      ,                402 ,        30.09.2025
       1028 ,                        1 ,        Ústøední knihovna         ,        VYSTDOSP     ,                 34 ,        30.09.2025
       1030 ,                        1 ,        Ústøední knihovna         ,        hud-gal      ,               3378 ,        30.09.2025
       1031 ,                        1 ,        Ústøední knihovna         ,        muzika       ,               1172 ,        30.09.2025
       1032 ,                        1 ,        Ústøední knihovna         ,        AKVI         ,                  0 ,        30.09.2025
       1087 ,                        1 ,        Ústøední knihovna         ,        CASDE        ,                176 ,        30.09.2025
       1088 ,                        1 ,        Ústøední knihovna         ,        CASML        ,                 62 ,        30.09.2025
       1089 ,                        1 ,        Ústøední knihovna         ,        DVDDE        ,                 11 ,        30.09.2025
       1129 ,                        1 ,        Ústøední knihovna         ,        VYSTAVML     ,                 36 ,        30.09.2025
       1133 ,                        1 ,        Ústøední knihovna         ,        leporela     ,                322 ,        30.09.2025
       1134 ,                        1 ,        Ústøední knihovna         ,        dìti-kom     ,                143 ,        30.09.2025
       1135 ,                        1 ,        Ústøední knihovna         ,        prvníètení   ,                184 ,        30.09.2025
       1136 ,                        1 ,        Ústøední knihovna         ,        mládež-kom   ,               1064 ,        30.09.2025
       1156 ,                        1 ,        Ústøední knihovna         ,        SELF         ,                  0 ,        30.09.2025
       1208 ,                        1 ,        Automatizace              ,        AUTOPULT     ,                  0 ,        30.09.2025
       1247 ,                        1 ,        Ústøední knihovna         ,        SKLADHRY     ,                 46 ,        30.09.2025
       1267 ,                        1 ,        Ústøední knihovna         ,        VR           ,                  8 ,        30.09.2025
        578 ,                        3 ,        Hradèany                  ,        HRA-POK      ,                  0 ,        30.09.2025
        652 ,                        3 ,        Hradèany                  ,        HRA-HRAB     ,                 58 ,        30.09.2025
        669 ,                        3 ,        Hradèany                  ,        HRA-CHF      ,                614 ,        30.09.2025
        670 ,                        3 ,        Hradèany                  ,        HRA-DE       ,               1108 ,        30.09.2025
        671 ,                        3 ,        Hradèany                  ,        HRA-POEDI    ,                176 ,        30.09.2025
        672 ,                        3 ,        Hradèany                  ,        HRA-BELDO    ,               1245 ,        30.09.2025
        673 ,                        3 ,        Hradèany                  ,        HRA-NAUDO    ,               1092 ,        30.09.2025
        674 ,                        3 ,        Hradèany                  ,        HRA-PIKTO    ,                151 ,        30.09.2025
        772 ,                        3 ,        Hradèany                  ,        HRA-DOPOR    ,                163 ,        30.09.2025
        889 ,                        3 ,        Hradèany                  ,        HRA-CASDO    ,                392 ,        30.09.2025
        890 ,                        3 ,        Hradèany                  ,        HRA-CASDE    ,                123 ,        30.09.2025
       1157 ,                        3 ,        Hradèany                  ,        HRA-SELF     ,                  0 ,        30.09.2025
        365 ,                        4 ,        Ostrèilovo nám.           ,        OST-CHF      ,                  1 ,        30.09.2025
        366 ,                        4 ,        Ostrèilovo nám.           ,        OST-NAUDO    ,               1911 ,        30.09.2025
        367 ,                        4 ,        Ostrèilovo nám.           ,        OST-BEL      ,               3941 ,        30.09.2025
        368 ,                        4 ,        Ostrèilovo nám.           ,        OST-HRAB     ,                115 ,        30.09.2025
        369 ,                        4 ,        Ostrèilovo nám.           ,        OST-DOPDE    ,                  0 ,        30.09.2025
        370 ,                        4 ,        Ostrèilovo nám.           ,        OST-DETI     ,               1762 ,        30.09.2025
        371 ,                        4 ,        Ostrèilovo nám.           ,        OST-POK      ,                 15 ,        30.09.2025
        762 ,                        4 ,        Ostrèilovo nám.           ,        OST-VSMS     ,                 15 ,        30.09.2025
        805 ,                        4 ,        Ostrèilovo nám.           ,        OST-DOPOR    ,                 82 ,        30.09.2025
        820 ,                        4 ,        Ostrèilovo nám.           ,        OST-OBVOD    ,                  0 ,        30.09.2025
        891 ,                        4 ,        Ostrèilovo nám.           ,        OST-CASDO    ,                187 ,        30.09.2025
        892 ,                        4 ,        Ostrèilovo nám.           ,        OST-CASDE    ,                 44 ,        30.09.2025
        893 ,                        4 ,        Ostrèilovo nám.           ,        OST-KOMIKS   ,                164 ,        30.09.2025
       1158 ,                        4 ,        Ostrèilovo nám.           ,        OST-SELF     ,                  0 ,        30.09.2025
        410 ,                        5 ,        Sedmièka                  ,        HOL-POK      ,                  8 ,        30.09.2025
        411 ,                        5 ,        Sedmièka                  ,        HOL-HRAB     ,                 53 ,        30.09.2025
        412 ,                        5 ,        Sedmièka                  ,        HOL-BELDO    ,               4168 ,        30.09.2025
        413 ,                        5 ,        Sedmièka                  ,        HOL-NAUDO    ,               3278 ,        30.09.2025
        414 ,                        5 ,        Sedmièka                  ,        HOL-CASDO    ,                406 ,        30.09.2025
        415 ,                        5 ,        Sedmièka                  ,        HOL-DETI     ,               3451 ,        30.09.2025
        419 ,                        5 ,        Sedmièka                  ,        HOL-ZASOBA   ,                  0 ,        30.09.2025
        420 ,                        5 ,        Sedmièka                  ,        HOL-POVIN    ,                  1 ,        30.09.2025
        854 ,                        5 ,        Sedmièka                  ,        HOL-DOPOR    ,                366 ,        30.09.2025
        856 ,                        5 ,        Sedmièka                  ,        HOL-DOPOR3   ,                188 ,        30.09.2025
        857 ,                        5 ,        Sedmièka                  ,        HOL-PRSK     ,                891 ,        30.09.2025
        923 ,                        5 ,        Sedmièka                  ,        HOL-AUDIO    ,                284 ,        30.09.2025
       1081 ,                        5 ,        Sedmièka                  ,        HOL-KOMDE    ,                149 ,        30.09.2025
       1082 ,                        5 ,        Sedmièka                  ,        HOL-KOMDO    ,                254 ,        30.09.2025
       1159 ,                        5 ,        Sedmièka                  ,        HOL-SELF     ,                  0 ,        30.09.2025
        561 ,                        7 ,        Kobylisy                  ,        KOB-POK      ,                 70 ,        30.09.2025
        562 ,                        7 ,        Kobylisy                  ,        KOB-HRAB     ,                 86 ,        30.09.2025
        600 ,                        7 ,        Kobylisy                  ,        KOB-LITDE    ,               3560 ,        30.09.2025
        601 ,                        7 ,        Kobylisy                  ,        KOB-CHFDE    ,                  1 ,        30.09.2025
        602 ,                        7 ,        Kobylisy                  ,        KOB-CHFDO    ,                 25 ,        30.09.2025
        603 ,                        7 ,        Kobylisy                  ,        KOB-DO       ,               5911 ,        30.09.2025
        604 ,                        7 ,        Kobylisy                  ,        KOB-PRSK     ,                768 ,        30.09.2025
        605 ,                        7 ,        Kobylisy                  ,        KOB-VYLOHY   ,                 30 ,        30.09.2025
        739 ,                        7 ,        Kobylisy                  ,        KOB-VSMS     ,                  0 ,        30.09.2025
        763 ,                        7 ,        Kobylisy                  ,        KOB-HRABDE   ,                 14 ,        30.09.2025
        801 ,                        7 ,        Kobylisy                  ,        KOB-DOPOR    ,                228 ,        30.09.2025
        802 ,                        7 ,        Kobylisy                  ,        KOB-DOPORD   ,                 13 ,        30.09.2025
        933 ,                        7 ,        Kobylisy                  ,        KOB-CASDO    ,                 44 ,        30.09.2025
        934 ,                        7 ,        Kobylisy                  ,        KOB-CASDE    ,                 11 ,        30.09.2025
        935 ,                        7 ,        Kobylisy                  ,        KOB-MAPY     ,                  0 ,        30.09.2025
       1152 ,                        7 ,        Kobylisy                  ,        KOB-1PAT     ,                  0 ,        30.09.2025
       1160 ,                        7 ,        Kobylisy                  ,        KOB-SELF     ,                  0 ,        30.09.2025
        112 ,                        8 ,        Školská                   ,        SKO-POK      ,                 38 ,        30.09.2025
