pobocka_cislo,lokace_short_norm,OCH,kapacita_fyzicka,stav_na_regalu,lokace_id
24,JEZ-KOMDO,Beletrie - dospělí,200.0,0.0,1109
24,JEZ-LEPOR,Beletrie - děti,250.0,0.0,1110
24,JEZ-LITDE,Beletrie - děti,1803.0,0.0,1099
24,JEZ-LITDE,Naučná - děti,1190.0,0.0,1099
24,JEZ-NAUDO,Naučná - dospělí,2931.0,0.0,1112
24,JEZ-PRSK,Beletrie - dospělí,1366.0,0.0,1113
24,JEZ-PRSK,Naučná - dospělí,1036.0,0.0,1113
24,JEZ-ROD,Beletrie - dospělí,49.0,0.0,1115
24,JEZ-ROD,Naučná - dospělí,122.0,0.0,1115
24,JEZ-SAMOPRA,None,0.0,0.0,
24,JEZ-TEENS,Beletrie - dospělí,926.0,0.0,1114
24,JEZ-TEENS,Beletrie - děti,731.0,0.0,1114
24,JEZ-TEENS,Naučná - děti,91.0,0.0,1114
24,JEZ-ZIVOT,Beletrie - dospělí,97.0,0.0,1116
24,JEZ-ZIVOT,Naučná - dospělí,151.0,0.0,1116
24,REZERVACE,None,0.0,0.0,
25,REZERVACE,Rezervace,241.0,0.0,
25,VIK-BELDO,Beletrie - dospělí,4189.0,0.0,567
25,VIK-CASDE,Časopisy pro děti,30.0,0.0,903
25,VIK-CASDO,Časopisy pro dospělé,100.0,0.0,902
25,VIK-DOPOR,Beletrie - dospělí,394.0,0.0,790
25,VIK-HRAB,Dnes vrácené knihy,208.0,0.0,559
25,VIK-KOMDE,Beletrie - dospělí,15.0,0.0,957
25,VIK-KOMDE,Beletrie - děti,90.0,0.0,957
25,VIK-KOMDO,Beletrie - dospělí,125.0,0.0,847
25,VIK-LITDE,Beletrie - dospělí,114.0,0.0,565
25,VIK-LITDE,Beletrie - děti,2974.0,0.0,565
25,VIK-LITDE,Naučná - děti,1494.0,0.0,565
25,VIK-NAUDO,Beletrie - dospělí,72.0,0.0,566
25,VIK-NAUDO,Naučná - dospělí,4305.0,0.0,566
25,VIK-PRSK,Beletrie - dospělí,579.0,0.0,568
25,VIK-PRSK,Naučná - dospělí,40.0,0.0,568
25,VIK-SAMOPRA,Opravuje se na pobočce,151.0,0.0,
25,VIK-VSMS,CD,70.0,0.0,745
25,VIK-YONG,Beletrie - dospělí,211.0,0.0,
25,VIK-ZIVOT,Naučná - dospělí,105.0,0.0,1274
27,MOD-BELDE,Beletrie - děti,4571.0,0.0,664
27,MOD-BELDO,Beletrie - dospělí,5991.0,0.0,663
