lokace_id,lokace_short,lokace_short_norm,knoddel_cisloknih,knoddel_nazev,stav_fondu_celkem_zdroj,datum,pobocka_cislo,je_realokace
1181,SPO-SELF,SPO-SELF,45.0,Spořilov,0,2025-09-30,45,False
1261,STO-HRAB2,STO-HRAB2,84.0,Stodůlky,0,2025-09-30,84,False
1197,STO-SELF,STO-SELF,84.0,Stodůlky,0,2025-09-30,84,False
582,STO-HRAB,STO-HRAB,84.0,Stodůlky,0,2025-09-30,84,False
597,CHU-PRSK,CHU-PRSK,31.0,Velká Chuchle,0,2025-09-30,31,False
1173,CHU-SELF,CHU-SELF,31.0,Velká Chuchle,0,2025-09-30,31,False
1219,MLY-SELF,MLY-SELF,11.0,Velký mlýn,0,2025-09-30,11,False
1169,VIK-SELF,VIK-SELF,25.0,Vikova,0,2025-09-30,25,False
999,CHM-MAPY,CHM-MAPY,66.0,Vozovna,0,2025-09-30,66,False
1162,VYS-SELF,VYS-SELF,10.0,Vysočany,0,2025-09-30,10,False
864,JEN-DEPOZ,JEN-DEPOZ,92.0,Vzdálený sklad 3,0,2025-09-30,92,False
1155,JEN-PVKONZ,JEN-PVKONZ,92.0,Vzdálený sklad 9,0,2025-09-30,92,False
834,BRU-D2TEA,BRU-D2TEA,97.0,Vzácné tisky - objednávka,0,2025-09-30,97,False
728,VYM-KANC,VYM-KANC,99.0,Výměnné soubory,0,2025-09-30,99,False
1182,ZME-SELF,ZME-SELF,47.0,Zahradní Město,0,2025-09-30,47,False
347,ZAH-HRABDO,ZAH-HRABDO,65.0,Záhřebská,0,2025-09-30,65,False
348,ZAH-HRABDE,ZAH-HRABDE,65.0,Záhřebská,0,2025-09-30,65,False
350,ZAH-KANC,ZAH-KANC,65.0,Záhřebská,0,2025-09-30,65,False
358,ZAH-DEPULT,ZAH-DEPULT,65.0,Záhřebská,0,2025-09-30,65,False
257,CADKOVA,CADKOVA,1.0,Ústřední knihovna,0,2025-09-30,1,False
651,TUR,TUR,1.0,Ústřední knihovna,0,2025-09-30,1,False
96,DIPULT,DIPULT,1.0,Ústřední knihovna,0,2025-09-30,1,False
235,METO487,METO487,1.0,Ústřední knihovna,0,2025-09-30,1,False
106,virtskvaz,VIRTSKVAZ,1.0,Ústřední knihovna,0,2025-09-30,1,False
79,příručky,PŘÍRUČKY,1.0,Ústřední knihovna,0,2025-09-30,1,False
263,STERBOVA,STERBOVA,1.0,Ústřední knihovna,0,2025-09-30,1,False
