lokace_id,oznaceni,typ
591,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
591,K - PŘÍRODNÍ VĚDY.,Naučná - dospělí
591,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
591,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
591,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
591,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - dospělí
591,R - JAZYKOVĚDA.,Naučná - dospělí
591,S - UMĚNÍ.,Naučná - dospělí
591,T - TECHNIKA.,Naučná - dospělí
591,V - HUDBA.,Naučná - dospělí
591,W - VOJENSTVÍ.,Naučná - dospělí
591,X - LITERATURA.,Naučná - dospělí
591,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - dospělí
591,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
566,C - DOMÁCNOST.,Naučná - dospělí
566,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
566,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
566,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
566,K - PŘÍRODNÍ VĚDY.,Naučná - dospělí
566,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
566,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
566,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
566,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - dospělí
566,R - JAZYKOVĚDA.,Naučná - dospělí
566,S - UMĚNÍ.,Naučná - dospělí
566,T - TECHNIKA.,Naučná - dospělí
566,V - HUDBA.,Naučná - dospělí
566,W - VOJENSTVÍ.,Naučná - dospělí
566,X - LITERATURA.,Naučná - dospělí
566,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - dospělí
566,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
461,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
461,PISTOLE - detektivky,Beletrie - dospělí
461,MÁG - fantasy,Beletrie - dospělí
461,"B1 – dramatická literatura, divadelní hry, rozhlasové hry, filmové a televizní scénáře",Beletrie - dospělí
461,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - dospělí
218,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
218,MILENCI - pro ženy,Beletrie - dospělí
218,PISTOLE - detektivky,Beletrie - dospělí
218,LEBKA - horory,Beletrie - dospělí
1253,J - CIZOJAZYČNÁ BELETRIE.,Beletrie - dospělí
145,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
960,Komiksy pro dospělé,Beletrie - dospělí
493,LEBKA - horory,Beletrie - dospělí
493,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - dospělí
672,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
603,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
603,MILENCI - pro ženy,Beletrie - dospělí
603,DÍVKA - dívčí četba,Beletrie - dospělí
603,LEBKA - horory,Beletrie - dospělí
603,PISTOLE - detektivky,Beletrie - dospělí
603,E.T. - sci-fi,Beletrie - dospělí
603,MÁG - fantasy,Beletrie - dospělí
603,J - CIZOJAZYČNÁ BELETRIE.,Beletrie - dospělí
1287,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
