lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,OCH,kapacita_fyzicka,kapacita_realokace,kapacita_effective,stav_fondu_och
863,JEN-PV,Vzdálený sklad 2,92,Sklad,True,Beletrie - dospělí,2158.0,,2158.0,0.0
1089,DVDDE,Ústřední knihovna,1,Ústřední knihovna,False,DVD - dětské knihy v přízemí,354.0,,354.0,0.0
27,theatre,Ústřední knihovna,1,Ústřední knihovna,False,Naučná - dospělí,2884.0,,2884.0,0.0
64,vázanky,Ústřední knihovna,1,Ústřední knihovna,False,Příruční sklad,4487.0,,4487.0,0.0
980,zvuk,Ústřední knihovna,1,Ústřední knihovna,False,CD,1463.0,,1463.0,0.0
772,HRA-DOPOR,Hradčany,3,Středozápad,False,Beletrie - dospělí,170.0,,170.0,0.0
856,HOL-DOPOR3,Sedmička,5,Severovýchod,False,Doporučujeme dětem,289.0,,289.0,0.0
1082,HOL-KOMDO,Sedmička,5,Severovýchod,True,Beletrie - dospělí,200.0,,,0.0
603,KOB-DO,Kobylisy,7,Severovýchod,True,Beletrie - dospělí,3309.0,,,0.0
1211,MLY-LITDO,Velký mlýn,11,Severovýchod,True,Naučná - dospělí,938.0,,,0.0
1121,HLO-LITDO,Hloubětín,13,Severovýchod,True,Beletrie - dospělí,1687.0,,,0.0
316,HUS-DOPDE,Žižkov,15,Středozápad,False,Deskové hry,5.0,,5.0,0.0
946,KOR-CASDE,Korunní,18,Jihovýchod,False,Časopisy pro děti,27.0,,27.0,0.0
1100,JEZ-BELDO,Jezerka,24,Jih,True,Beletrie - dospělí,2948.0,,,0.0
1105,JEZ-HRABDO,Jezerka,24,Jih,False,None,305.0,,305.0,0.0
1110,JEZ-LEPOR,Jezerka,24,Jih,True,Beletrie - děti,250.0,,,0.0
567,VIK-BELDO,Vikova,25,Jih,True,Beletrie - dospělí,4189.0,,,0.0
847,VIK-KOMDO,Vikova,25,Jih,True,Beletrie - dospělí,125.0,,,0.0
664,MOD-BELDE,Modřany,27,Jih,True,Beletrie - děti,4571.0,,,0.0
779,MOD-DOPOR,Modřany,27,Jih,False,Doporučujeme (dospělí),633.0,,633.0,0.0
846,SMI-KOLOTO,Smíchov,29,Jihozápad,True,Beletrie - děti,150.0,,,0.0
591,CHU-NAU,Velká Chuchle,31,Jihozápad,True,Naučná - dospělí,853.0,,,0.0
1054,LET-KOMIKS,Letná,39,Severovýchod,True,Beletrie - děti,150.0,,,0.0
1227,PET-CASDO1,Petřiny,42,Středozápad,False,Časopisy pro dospělé,61.0,,61.0,0.0
1232,PET-LEPDE1,Petřiny,42,Středozápad,True,Beletrie - děti,60.0,,,0.0
907,NVE-CASDE,Pankrác,43,Jih,False,Časopisy pro děti,60.0,,60.0,0.0
436,SPO-CASDO,Spořilov,45,Jih,False,Časopisy pro dospělé,150.0,,150.0,0.0
437,SPO-DETI,Spořilov,45,Jih,True,Beletrie - děti,3398.0,,,0.0
437,SPO-DETI,Spořilov,45,Jih,True,Naučná - děti,1580.0,,,0.0
1068,DIT-KOMDE,Dittrichova,51,Středozápad,True,Beletrie - děti,90.0,,,0.0
1068,DIT-KOMDE,Dittrichova,51,Středozápad,True,Naučná - děti,30.0,,,0.0
232,BOH-CHFI1,Bohnice,52,Severovýchod,False,Deskové hry,181.0,,181.0,0.0
220,BOH-DETCAS,Bohnice,52,Severovýchod,False,Časopisy pro děti,0.0,,0.0,0.0
326,PRO-CASDO,Prosek,54,Severovýchod,False,Časopisy pro dospělé,63.0,,63.0,0.0
333,PRO-CHFDE,Prosek,54,Severovýchod,False,Deskové hry,90.0,,90.0,0.0
982,PRO-KOMDO,Prosek,54,Severovýchod,True,Beletrie - dospělí,260.0,,,0.0
325,PRO-NAUDO,Prosek,54,Severovýchod,True,Doporučujeme (dospělí),12.0,,,0.0
976,PRO-PRSK,Prosek,54,Severovýchod,True,Příruční sklad,1755.0,,,0.0
949,RUS-OST2,Dům čtení,56,Jihovýchod,False,AK,197.0,,197.0,0.0
1021,OPA-MAPY,Opatov,58,Jih,False,Naučná - dospělí,204.0,,204.0,0.0
274,OPA-NAUDO,Opatov,58,Jih,True,Naučná - dospělí,21047.0,,,0.0
461,BAR-BELDO,Barrandov,62,Jihozápad,True,Beletrie - dospělí,4730.0,,,0.0
346,ZAH-CHFDE,Záhřebská,65,Středozápad,False,Naučná - dospělí,23.0,,23.0,0.0
773,CHM-DOPOR,Vozovna,66,Středozápad,False,Doporučujeme (dospělí),144.0,,144.0,0.0
773,CHM-DOPOR,Vozovna,66,Středozápad,False,Doporučujeme dětem,240.0,,240.0,0.0
951,SKA-CASDO,Skalka,70,Jihovýchod,False,Časopisy pro dospělé,256.0,,256.0,0.0
871,LUZ-BELCAS,Lužiny,81,Jihozápad,False,Časopisy pro dospělé,61.0,,61.0,0.0
1074,STO-KOMDO,Stodůlky,84,Jihozápad,True,Beletrie - dospělí,150.0,,,0.0
515,DAB-BELDO,Ládví,88,Severovýchod,True,Beletrie - dospělí,7466.0,,,0.0
945,DAB-CASDE,Ládví,88,Severovýchod,False,Časopisy pro děti,30.0,,30.0,0.0
774,JIR-DOPOR,Chodov,89,Jih,False,Deskové hry,20.0,,20.0,0.0
609,cizí-jazyk,Ústřední knihovna,1,Ústřední knihovna,True,Beletrie - dospělí,7241.0,,,0.0
692,dvojjaz,Ústřední knihovna,1,Ústřední knihovna,True,Beletrie - dospělí,583.0,,,0.0
1133,leporela,Ústřední knihovna,1,Ústřední knihovna,True,Beletrie - děti,0.0,,,0.0
65,pragensia,Ústřední knihovna,1,Ústřední knihovna,False,Naučná - dospělí,4135.0,,4135.0,0.0
1028,VYSTDOSP,Ústřední knihovna,1,Ústřední knihovna,False,Doporučujeme (dospělí),59.0,,59.0,0.0
669,HRA-CHF,Hradčany,3,Středozápad,False,AK,12.0,,12.0,0.0
670,HRA-DE,Hradčany,3,Středozápad,True,Deskové hry,10.0,,,0.0
772,HRA-DOPOR,Hradčany,3,Středozápad,False,CD,60.0,,60.0,0.0
413,HOL-NAUDO,Sedmička,5,Severovýchod,True,Naučná - dospělí,6294.0,,,15.0
934,KOB-CASDE,Kobylisy,7,Severovýchod,False,Časopisy pro děti,9.0,,9.0,0.0
118,SKO-LITDE,Školská,8,Středozápad,True,Beletrie - děti,2183.0,,,2.0
118,SKO-LITDE,Školská,8,Středozápad,True,Naučná - děti,1195.0,,,3.0
446,VYS-BELDE,Vysočany,10,Severovýchod,True,Beletrie - děti,2591.0,,,0.0
448,VYS-CHFVYP,Vysočany,10,Severovýchod,False,Deskové hry,20.0,,20.0,0.0
1083,VYS-KOMIKS,Vysočany,10,Severovýchod,True,Beletrie - dospělí,200.0,,,0.0
444,VYS-NAUDO,Vysočany,10,Severovýchod,True,Naučná - dospělí,3146.0,,,0.0
1217,MLY-HRAB,Velký mlýn,11,Severovýchod,False,Dnes vrácené knihy,147.0,,147.0,0.0
