lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,stav_fondu_celkem,kapacita_celkem,kapacita_fyzicka_sum,kapacita_realokace_sum,volna_kapacita,naplnenost_pct,rozdil,pretizena,rizikova
753,RUS-NAUDO,Dům čtení,56,Jihovýchod,True,8860,7961.0,11223.0,7961.0,-899.0,111.2925511870368,899.0,True,True
882,OPA-KOMIKS,Opatov,58,Jih,True,757,550.0,605.0,550.0,-207.0,137.63636363636365,207.0,True,True
1072,BAR-KOMDE,Barrandov,62,Jihozápad,True,112,100.0,100.0,100.0,-12.0,112.00000000000001,12.0,True,True
1146,BAR-LEPOR,Barrandov,62,Jihozápad,True,128,200.0,200.0,200.0,72.0,64.0,-72.0,False,False
986,CHM-KOMDO,Vozovna,66,Středozápad,True,323,160.0,160.0,160.0,-163.0,201.87499999999997,163.0,True,True
762,OST-VSMS,Ostrčilovo nám.,4,Středozápad,False,15,20.0,20.0,,5.0,75.0,-5.0,False,False
524,KRC-CASDO,Krč,60,Jih,False,228,101.0,101.0,,-127.0,225.74257425742573,127.0,True,True
220,BOH-DETCAS,Bohnice,52,Severovýchod,False,34,0.0,0.0,,-34.0,,34.0,,
769,RAJ-DOPOR,Rajská zahrada,87,Severovýchod,False,146,180.0,180.0,,34.0,81.11111111111111,-34.0,False,False
144,BRE-CITR,Břevnov,35,Středozápad,False,144,21.0,21.0,,-123.0,685.7142857142857,123.0,True,True
915,CI3-CASDE,Cibulka,30,Jihozápad,False,27,12.0,12.0,,-15.0,225.0,15.0,True,True
888,BAR-CASDO,Barrandov,62,Jihozápad,False,114,120.0,120.0,,6.0,95.0,-6.0,False,True
979,mluv-děti,Ústřední knihovna,1,Ústřední knihovna,False,507,208.0,208.0,,-299.0,243.75,299.0,True,True
812,SKO-DOPO1,Školská,8,Středozápad,False,332,710.0,710.0,,378.0,46.76056338028169,-378.0,False,False
1010,OPA-DETCD,Opatov,58,Jih,False,93,80.0,80.0,,-13.0,116.25000000000001,13.0,True,True
1281,KRC-POEDIV,Krč,60,Jih,False,294,380.0,380.0,,86.0,77.36842105263158,-86.0,False,False
920,STO-CASDE,Stodůlky,84,Jihozápad,False,59,51.0,51.0,,-8.0,115.68627450980394,8.0,True,True
637,CI3-HRAB,Cibulka,30,Jihozápad,False,9,104.0,104.0,,95.0,8.653846153846153,-95.0,False,False
83,VRACA,Ústřední knihovna,1,Ústřední knihovna,False,546,,,,,,,,
110,NAI3,Ústřední knihovna,1,Ústřední knihovna,False,5,,,,,,,,
1088,CASML,Ústřední knihovna,1,Ústřední knihovna,False,62,,,,,,,,
687,BB3-HRAB,Bibliobus 3,99,,False,19,,,,,,,,
54,čiperka,Ústřední knihovna,1,Ústřední knihovna,False,76,,,,,,,,
225,BOH-POK,Bohnice,52,Severovýchod,False,33,,,,,,,,
374,KOR-POK,Korunní,18,Jihovýchod,False,56,,,,,,,,
868,PRIRUCKA,,,,False,269,,,,,,,,
533,manipul4,,,,False,0,,,,,,,,
563,RUS-POK,Dům čtení,56,Jihovýchod,False,99,,,,,,,,
527,KRC-CHFVYP,Krč,60,Jih,False,1,,,,,,,,
1283,BRU-D2,Vzácné tisky - objednávka,97,,False,14,,,,,,,,
577,STO-POK,Stodůlky,84,Jihozápad,False,46,,,,,,,,
837,BRU-D2BIB,Vzácné tisky - objednávka,97,,False,2199,,,,,,,,
261,JIR-INF,Chodov,89,Jih,False,0,,,,,,,,
209,DIT-CHFOND,Dittrichova,51,Středozápad,False,6,,,,,,,,
468,ZAH-PRSK,Záhřebská,65,Středozápad,False,4,,,,,,,,
1170,MOD-SELF,Modřany,27,Jih,False,0,,,,,,,,
1294,JEZ-SKOLA,Jezerka,24,Jih,False,131,,,,,,,,
243,NOV-CHFOND,Novodvorská,41,Jih,False,7,,,,,,,,
342,ZAH-POK,Záhřebská,65,Středozápad,False,61,,,,,,,,
746,VRS-VSMS,(zrušeno) Vršovice,19,,False,0,,,,,,,,
1190,KRC-SELF,Krč,60,Jih,False,1,,,,,,,,
729,5KV-VSMS,(zrušeno) Pankrác,43,Jih,False,0,,,,,,,,
265,BRE-KANC,Břevnov,35,Středozápad,False,7,,,,,,,,
1296,DAB-LEPOR,Ládví,88,Severovýchod,False,62,,,,,,,,
558,VIK-POK,Vikova,25,Jih,False,36,,,,,,,,
622,BBS-KANC,BibHostivař,99,,False,0,,,,,,,,
935,KOB-MAPY,Kobylisy,7,Severovýchod,False,0,,,,,,,,
1065,JIR-LEPOR,Chodov,89,Jih,True,290,190.0,190.0,190.0,-100.0,152.63157894736844,100.0,True,True
674,HRA-PIKTO,Hradčany,3,Středozápad,True,151,140.0,189.0,140.0,-11.0,107.85714285714285,11.0,True,True
121,SKO-DIVML,Školská,8,Středozápad,True,45,50.0,66.0,50.0,5.0,90.0,-5.0,False,False
1212,MLY-LITDE,Velký mlýn,11,Severovýchod,True,892,1343.0,1671.0,1343.0,451.0,66.41846612062547,-451.0,False,False
1209,KOR-YA,Korunní,18,Jihovýchod,True,310,260.0,361.0,260.0,-50.0,119.23076923076923,50.0,True,True
1114,JEZ-TEENS,Jezerka,24,Jih,True,1042,1050.0,1748.0,1050.0,8.0,99.23809523809524,-8.0,False,True
146,BRE-NAUDO,Břevnov,35,Středozápad,True,7319,7115.0,10239.0,7115.0,-204.0,102.86718200983837,204.0,True,True
242,NOV-NAUDO,Novodvorská,41,Jih,True,3962,5326.0,5134.0,5326.0,1364.0,74.38978595568906,-1364.0,False,False
1233,PET-LITDE1,Petřiny,42,Středozápad,True,1453,1808.0,2572.0,1808.0,355.0,80.36504424778761,-355.0,False,False
1024,SPO-KOMDE,Spořilov,45,Jih,True,157,155.0,195.0,155.0,-2.0,101.29032258064517,2.0,True,True
1258,OSV-KOMDO,Ostrovského,48,Jihozápad,True,213,100.0,100.0,100.0,-113.0,213.0,113.0,True,True
1020,DIT-DOMDE,Dittrichova,51,Středozápad,True,244,240.0,240.0,240.0,-4.0,101.66666666666666,4.0,True,True
465,BAR-BELDE,Barrandov,62,Jihozápad,True,2735,2285.0,2865.0,2285.0,-450.0,119.69365426695842,450.0,True,True
352,ZAH-BELDO,Záhřebská,65,Středozápad,True,2212,1685.0,2408.0,1685.0,-527.0,131.2759643916914,527.0,True,True
1256,LUZ-KOMDE,Lužiny,81,Jihozápad,True,300,200.0,200.0,200.0,-100.0,150.0,100.0,True,True
529,KRC-PRSK,Krč,60,Jih,False,988,1393.0,1393.0,,405.0,70.92605886575735,-405.0,False,False
602,KOB-CHFDO,Kobylisy,7,Severovýchod,False,25,10.0,10.0,,-15.0,250.0,15.0,True,True
802,KOB-DOPORD,Kobylisy,7,Severovýchod,False,13,15.0,15.0,,2.0,86.66666666666667,-2.0,False,False
1041,MAL-CASDE,Malešice,61,Jihovýchod,False,16,0.0,0.0,,-16.0,,16.0,,
1145,BAR-VSMS,Barrandov,62,Jihozápad,False,433,301.0,301.0,,-132.0,143.85382059800665,132.0,True,True
64,vázanky,Ústřední knihovna,1,Ústřední knihovna,False,3265,4487.0,4487.0,,1222.0,72.76576777356809,-1222.0,False,False
779,MOD-DOPOR,Modřany,27,Jih,False,475,633.0,633.0,,158.0,75.03949447077409,-158.0,False,False
232,BOH-CHFI1,Bohnice,52,Severovýchod,False,947,482.0,482.0,,-465.0,196.47302904564313,465.0,True,True
346,ZAH-CHFDE,Záhřebská,65,Středozápad,False,23,43.0,43.0,,20.0,53.48837209302325,-20.0,False,False
25,audio,Ústřední knihovna,1,Ústřední knihovna,False,17476,10500.0,10500.0,,-6976.0,166.43809523809523,6976.0,True,True
589,HLO-PRSK,Hloubětín,13,Severovýchod,False,84,154.0,154.0,,70.0,54.54545454545454,-70.0,False,False
916,OSV-CASDO,Ostrovského,48,Jihozápad,False,206,60.0,60.0,,-146.0,343.3333333333333,146.0,True,True
495,HOS-CASDO,Hostivař,21,Jihovýchod,False,111,9.0,9.0,,-102.0,1233.3333333333335,102.0,True,True
1017,HOS-DOPDE,Hostivař,21,Jihovýchod,False,68,120.0,120.0,,52.0,56.666666666666664,-52.0,False,False
570,CHU-HRAB,Velká Chuchle,31,Jihozápad,False,8,120.0,120.0,,112.0,6.666666666666667,-112.0,False,False
736,HUS-VSMS,Žižkov,15,Středozápad,False,33,26.0,26.0,,-7.0,126.92307692307692,7.0,True,True
