pobocka_cislo,lokace_short_norm,OCH,kapacita_realokace,lokace_id
8,SKO-LITDE,E,25.0,118
8,SKO-LITDE,"G,O,W",10.0,118
8,SKO-LITDE,J4,20.0,118
8,SKO-LITDE,K,170.0,118
8,SKO-LITDE,L,45.0,118
8,SKO-LITDE,N,60.0,118
8,SKO-LITDE,P,25.0,118
8,SKO-LITDE,R,50.0,118
8,SKO-LITDE,S,45.0,118
8,SKO-LITDE,T,45.0,118
8,SKO-LITDE,U,15.0,118
8,SKO-LITDE,V,50.0,118
8,SKO-LITDE,X,30.0,118
8,SKO-LITDE,Y,40.0,118
8,SKO-LITDE,Z,45.0,118
8,SKO-LITDE,,595.0,118
8,SKO-NAUDO,C,225.0,117
8,SKO-NAUDO,D,910.0,117
8,SKO-NAUDO,E,660.0,117
8,SKO-NAUDO,G,590.0,117
8,SKO-NAUDO,K,530.0,117
8,SKO-NAUDO,L,660.0,117
8,SKO-NAUDO,N,215.0,117
8,SKO-NAUDO,O,120.0,117
8,SKO-NAUDO,P,330.0,117
8,SKO-NAUDO,R,250.0,117
8,SKO-NAUDO,S,550.0,117
8,SKO-NAUDO,T,215.0,117
8,SKO-NAUDO,V,165.0,117
8,SKO-NAUDO,W,250.0,117
8,SKO-NAUDO,X,320.0,117
8,SKO-NAUDO,Y,200.0,117
8,SKO-NAUDO,Z,240.0,117
8,SKO-POEML,B2,125.0,120
10,VYS-BELDE,A1,45.0,446
10,VYS-BELDE,A2,250.0,446
10,VYS-BELDE,A3,740.0,446
10,VYS-BELDE,A4,330.0,446
10,VYS-BELDE,,695.0,446
10,VYS-BELDO,A1,2525.0,443
10,VYS-BELDO,J4,85.0,443
10,VYS-BELDO,,60.0,443
10,VYS-KOMIKS,,150.0,1083
10,VYS-NAUDE,D,25.0,445
10,VYS-NAUDE,K,525.0,445
10,VYS-NAUDE,N,215.0,445
10,VYS-NAUDE,R,130.0,445
10,VYS-NAUDE,T,100.0,445
10,VYS-NAUDE,U,20.0,445
10,VYS-NAUDE,Y,100.0,445
10,VYS-NAUDE,Z,220.0,445
10,VYS-NAUDE,,10.0,445
10,VYS-NAUDO,C,250.0,444
10,VYS-NAUDO,D,310.0,444
10,VYS-NAUDO,E,330.0,444
10,VYS-NAUDO,G,300.0,444
10,VYS-NAUDO,L,380.0,444
10,VYS-NAUDO,O,70.0,444
10,VYS-NAUDO,P,210.0,444
10,VYS-NAUDO,S,225.0,444
10,VYS-NAUDO,V,70.0,444
10,VYS-NAUDO,W,100.0,444
10,VYS-NAUDO,X,100.0,444
10,VYS-POEDIV,B1,35.0,447
10,VYS-POEDIV,B2,190.0,447
10,VYS-PRSK,A1,1950.0,450
10,VYS-PRSK,B2,180.0,450
10,VYS-PRSKDE,C,180.0,449
10,VYS-PRSKDE,D,170.0,449
10,VYS-PRSKDE,E,25.0,449
10,VYS-PRSKDE,G,110.0,449
10,VYS-PRSKDE,L,170.0,449
10,VYS-PRSKDE,N,45.0,449
10,VYS-PRSKDE,P,20.0,449
10,VYS-PRSKDE,S,10.0,449
10,VYS-PRSKDE,T,40.0,449
10,VYS-PRSKDE,"W,O,X,R",10.0,449
10,VYS-PRSKDE,Y,20.0,449
11,MLY-KOMDE,A1,50.0,1215
11,MLY-KOMDO,,95.0,1214
11,MLY-LEPOR,,100.0,1216
11,MLY-LITDE,A1,25.0,1212
11,MLY-LITDE,A2,150.0,1212
11,MLY-LITDE,A3,410.0,1212
11,MLY-LITDE,A4,125.0,1212
11,MLY-LITDE,B2,100.0,1212
11,MLY-LITDE,C,30.0,1212
11,MLY-LITDE,D,40.0,1212
11,MLY-LITDE,E,38.0,1212
11,MLY-LITDE,K,70.0,1212
11,MLY-LITDE,L,20.0,1212
11,MLY-LITDE,N,45.0,1212
11,MLY-LITDE,P,15.0,1212
11,MLY-LITDE,S,15.0,1212
11,MLY-LITDE,T,15.0,1212
11,MLY-LITDE,V,70.0,1212
11,MLY-LITDE,Y,15.0,1212
11,MLY-LITDE,Z,15.0,1212
11,MLY-LITDE,komiksy,60.0,1212
11,MLY-LITDE,,85.0,1212
11,MLY-LITDO,A1,580.0,1211
11,MLY-LITDO,B1,5.0,1211
11,MLY-LITDO,B2,15.0,1211
11,MLY-LITDO,C,55.0,1211
