lokace_id,datum,OCH,stav_fondu
1279,2025-09-30,,269.0
1190,2025-09-30,,1.0
527,2025-09-30,,1.0
776,2025-09-30,,221.0
522,2025-09-30,,93.0
1278,2025-09-30,,173.0
521,2025-09-30,,29.0
1282,2025-09-30,,129.0
1276,2025-09-30,,595.0
1056,2025-09-30,,85.0
1050,2025-09-30,,89.0
1127,2025-09-30,,2127.0
205,2025-09-30,,16.0
1055,2025-09-30,,15.0
1052,2025-09-30,,16.0
1054,2025-09-30,,171.0
140,2025-09-30,,51.0
137,2025-09-30,,10799.0
874,2025-09-30,,343.0
871,2025-09-30,,177.0
875,2025-09-30,,1836.0
1086,2025-09-30,,149.0
870,2025-09-30,,55.0
872,2025-09-30,,468.0
160,2025-09-30,,7.0
164,2025-09-30,,2.0
1224,2025-09-30,,368.0
777,2025-09-30,,1022.0
168,2025-09-30,,2355.0
1257,2025-09-30,,597.0
1256,2025-09-30,,300.0
167,2025-09-30,,4221.0
136,2025-09-30,,6983.0
873,2025-09-30,,186.0
869,2025-09-30,,604.0
516,2025-09-30,,697.0
511,2025-09-30,,54.0
517,2025-09-30,,904.0
971,2025-09-30,,352.0
520,2025-09-30,,251.0
514,2025-09-30,,10127.0
515,2025-09-30,,6982.0
970,2025-09-30,,163.0
1137,2025-09-30,,830.0
731,2025-09-30,,27.0
945,2025-09-30,,30.0
1295,2025-09-30,,45.0
512,2025-09-30,,286.0
969,2025-09-30,,440.0
513,2025-09-30,,4143.0
1221,2025-09-30,,55.0
770,2025-09-30,,103.0
1296,2025-09-30,,62.0
967,2025-09-30,,40.0
876,2025-09-30,,7.0
878,2025-09-30,,30.0
571,2025-09-30,,14.0
1037,2025-09-30,,3372.0
1046,2025-09-30,,476.0
1066,2025-09-30,,292.0
1038,2025-09-30,,2669.0
1041,2025-09-30,,16.0
1039,2025-09-30,,70.0
1043,2025-09-30,,297.0
1042,2025-09-30,,2.0
1040,2025-09-30,,2198.0
1045,2025-09-30,,737.0
666,2025-09-30,,138.0
668,2025-09-30,,418.0
664,2025-09-30,,3178.0
741,2025-09-30,,32.0
779,2025-09-30,,475.0
624,2025-09-30,,107.0
662,2025-09-30,,5203.0
663,2025-09-30,,5537.0
661,2025-09-30,,67.0
858,2025-09-30,,206.0
1254,2025-09-30,,1232.0
579,2025-09-30,,42.0
780,2025-09-30,,87.0
905,2025-09-30,,171.0
241,2025-09-30,,77.0
238,2025-09-30,,4269.0
963,2025-09-30,,302.0
964,2025-09-30,,93.0
1285,2025-09-30,,9.0
966,2025-09-30,,567.0
962,2025-09-30,,57.0
830,2025-09-30,,329.0
242,2025-09-30,,3962.0
243,2025-09-30,,7.0
965,2025-09-30,,2.0
245,2025-09-30,,125.0
246,2025-09-30,,11.0
240,2025-09-30,,3755.0
244,2025-09-30,,306.0
285,2025-09-30,,1871.0
281,2025-09-30,,807.0
275,2025-09-30,,772.0
721,2025-09-30,,7629.0
279,2025-09-30,,1416.0
278,2025-09-30,,5479.0
272,2025-09-30,,25278.0
276,2025-09-30,,848.0
273,2025-09-30,,12729.0
271,2025-09-30,,99.0
277,2025-09-30,,151.0
1010,2025-09-30,,93.0
282,2025-09-30,,75.0
882,2025-09-30,,757.0
286,2025-09-30,,2.0
270,2025-09-30,,6091.0
1009,2025-09-30,,450.0
280,2025-09-30,,644.0
